## Site Characteristics
        Country='China'
        Station='Unknown'
        Description=''
        Source='NASA/POWER Source Native Resolution Daily Data'
        Contact='Herman Berghuijs (herman.berghuijs@wur.nl)'
        Longitude=127.0958328;Latitude=45.83750153;Elevation=139.04;AngstromA=0.29;AngstromB=0.49;HasSunshine=False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
19840212,9710.0,-18.83,-12.01,0.15131879126923284, 1.29, 0.03,0
19840213,11660.0,-19.72,-10.83,0.14889217936459526, 1.44, 0.02,0
19840214,11550.0,-21.9,-11.59,0.13171553836448982, 2.33, 0.01,0
19840215,11870.0,-23.4,-12.97,0.11351522188176377, 1.83, 0.0,0
19840216,12000.0,-20.79,-10.23,0.12712903789658403, 1.09, 0.0,0
19840217,11500.0,-22.93,-8.66,0.15183413364827972, 3.26, 0.06,0
19840218,12810.0,-20.79,-11.08,0.13504835273204932, 3.25, 0.0,0
19840219,12760.0,-20.59,-6.03,0.15948474026689086, 2.25, 0.0,0
19840220,13350.0,-18.23,-4.12,0.18028802538032396, 3.31, 0.0,0
19840221,13780.0,-16.01,-3.9,0.1888882767482615, 2.56, 0.0,0
19840222,6150.0,-15.48,-5.31,0.22376008811644837, 3.12, 1.05,0
19840223,12220.0,-15.22,-5.31,0.2893575929096676, 2.55, 1.6999999999999997,0
19840224,11620.0,-16.33,-3.93,0.21604092798779062, 1.61, 0.01,0
19840225,8250.0,-15.81,-4.84,0.26172719735750966, 2.72, 0.5,0
19840226,10270.0,-15.78,-8.85,0.21515892811640028, 3.08, 0.57,0
19840227,13550.0,-15.8,-7.93,0.19590023836605974, 4.07, 0.17,0
19840228,14390.0,-18.91,-11.23,0.15680860108789108, 2.51, 0.07,0
19840229,15090.0,-21.64,-9.79,0.12494396119571127, 1.84, 0.0,0
19840301,14680.0,-21.74,-9.17,0.14012886925050125, 1.55, 0.0,0
19840302,15570.0,-19.32,-7.25,0.16179142972281768, 1.3, 0.01,0
19840303,13170.0,-15.71,-7.23,0.21852768635504882, 1.73, 0.47,0
19840304,12430.0,-12.53,-4.58,0.2783186213481143, 1.09, 0.25,0
19840305,11300.0,-10.61,-3.54,0.3072501989792378, 1.99, 0.15,0
19840306,15900.0,-13.1,-1.32,0.26298767016692254, 2.81, 0.01,0
19840307,16440.000000000004,-15.53,-1.75,0.2488130997403932, 2.31, 0.01,0
19840308,16710.0,-15.25,-4.51,0.20976176185477993, 2.54, 0.01,0
19840309,16830.0,-13.14,-4.15,0.21253214190730516, 1.95, 0.01,0
19840310,16530.000000000004,-13.59,-6.24,0.22248698299340655, 2.01, 0.75,0
19840311,13980.0,-15.29,-5.33,0.1985069934463995, 1.67, 0.03,0
19840312,16470.0,-14.36,-3.9,0.21045132345074685, 2.0, 0.01,0
19840313,17690.0,-12.58,-1.54,0.23800581987495925, 2.51, 0.0,0
19840314,17930.0,-12.83,0.61,0.2602634406023094, 1.66, 0.10999999999999999,0
19840315,11900.0,-9.43,0.97,0.40855318267933527, 4.04, 3.88,0
19840316,9870.0,-6.06,0.1,0.442427948208254, 4.5, 3.4399999999999995,0
19840317,15440.0,-7.01,-3.04,0.35828973332907604, 2.22, 3.45,0
19840318,17920.0,-8.39,-2.51,0.3497901907544857, 0.65, 0.43999999999999995,0
19840319,16700.0,-7.86,-4.06,0.3428000782517455, 0.83, 0.78,0
19840320,18320.0,-12.59,-2.84,0.31631169427076866, 2.94, 0.3,0
19840321,18610.0,-16.76,-1.93,0.24463620653650883, 2.34, 0.01,0
19840322,18660.0,-13.94,1.43,0.292813807745047, 2.91, 0.32,0
19840323,13900.0,-7.36,0.79,0.3872678061103941, 3.84, 0.96,0
19840324,20020.0,-12.82,-2.37,0.24542695983210272, 5.28, 0.25,0
19840325,21080.0,-11.5,-5.9,0.21148945279293738, 4.64, 0.16,0
19840326,20860.0,-15.74,-3.36,0.2137543988220159, 3.69, 0.1,0
19840327,18160.0,-16.04,-3.11,0.18967365809038866, 2.63, 0.01,0
19840328,13530.0,-13.75,-4.9,0.2137543988220159, 3.97, 0.37,0
19840329,19510.0,-14.55,-1.91,0.25963834895921983, 2.92, 0.02,0
19840330,21150.0,-13.25,1.94,0.26235676035710287, 2.27, 0.0,0
19840331,21400.0,-10.32,4.08,0.3007841014085031, 2.7, 0.0,0
19840401,21170.0,-6.73,5.27,0.3079762240628157, 1.83, 0.0,0
19840402,10070.0,-5.21,6.28,0.4646243983114949, 6.53, 0.38,0
19840403,18350.0,-3.04,7.72,0.42956593669298065, 6.25, 0.08,0
19840404,21480.0,-4.25,8.5,0.37990784064808714, 3.05, 0.0,0
19840405,7890.0,-6.61,1.85,0.3258644795448155, 6.52, 2.14,0
19840406,12240.0,-5.76,-1.95,0.29235086895443546, 5.84, 1.38,0
19840407,14600.0,-6.28,2.96,0.35169363479561355, 2.04, 0.02,0
19840408,20480.0,-5.35,8.48,0.37152597785326047, 2.72, 1.03,0
19840409,14610.0,-2.39,10.18,0.5078297699852756, 5.4, 3.63,0
19840410,16990.0,-3.23,7.08,0.4730660502216482, 3.62, 0.18,0
19840411,16560.0,-3.33,9.23,0.4856203564485429, 2.38, 0.01,0
19840412,23430.0,-2.11,12.82,0.43909787259371225, 2.0, 0.0,0
19840413,23840.0,-2.75,13.48,0.4198987859112814, 2.88, 0.0,0
19840414,12500.0,-1.68,14.15,0.5791018506116533, 5.06, 0.1,0
19840415,15280.0,-1.5,13.06,0.692122297466262, 2.44, 0.02,0
19840416,13740.0,1.36,14.85,0.7756981514188749, 1.79, 0.04,0
19840417,18300.0,-0.42,11.43,0.4525528815320599, 6.24, 1.03,0
19840418,24290.0,-4.46,15.11,0.3438673403580945, 5.11, 0.0,0
19840419,23610.0,1.29,20.34,0.4437662332980594, 7.57, 0.0,0
19840420,9340.0,2.57,13.18,0.65245600641744, 7.78, 1.27,0
19840421,12600.0,-0.98,11.05,0.5070752110192743, 3.98, 0.04,0
19840422,23470.0,-3.19,8.9,0.28684613395566366, 3.72, 0.0,0
19840423,25020.0,-1.81,13.64,0.3465484143954692, 2.27, 0.0,0
19840424,25440.0,0.4,21.45,0.499584043969597, 3.08, 0.0,0
19840425,12400.0,6.5,20.02,0.7318152493478515, 4.37, 0.0,0
19840426,17320.0,6.47,21.94,0.9063735027255829, 5.26, 1.1,0
19840427,17190.0,2.24,13.89,0.4247079762658597, 3.94, 2.67,0
19840428,16730.0,-1.12,16.77,0.48598334588251035, 3.0, 0.02,0
19840429,22030.0,4.68,19.85,0.5975923388363501, 2.97, 0.08,0
19840430,21830.0,5.85,20.77,0.7214505777691222, 4.21, 0.03,0
19840501,19950.0,4.81,17.64,0.7990614883334991, 3.59, 0.02,0
19840502,22670.0,5.83,20.32,0.7297318598853683, 1.43, 0.13,0
19840503,16820.0,8.75,17.76,0.7556178381884078, 1.39, 0.09,0
19840504,21330.0,6.98,18.87,0.7884165517101703, 1.24, 0.8399999999999999,0
19840505,20400.0,5.03,24.13,0.7707708937549813, 4.13, 3.18,0
19840506,18170.0,4.61,14.73,0.7391485324970545, 3.59, 0.26,0
19840507,17660.0,2.54,15.47,0.6361464376059383, 2.04, 0.06,0
19840508,18430.0,3.0,15.12,0.6861875973811178, 3.98, 1.04,0
19840509,28350.0,1.88,20.9,0.6472907742750561, 2.8, 0.02,0
19840510,13540.0,5.66,22.0,0.8441026423148446, 4.53, 0.57,0
19840511,15400.0,7.81,16.61,0.9527336765037365, 2.93, 0.12,0
19840512,26030.0,5.79,21.58,0.8064177413438307, 2.15, 0.01,0
19840513,17130.0,7.06,19.96,0.8542113659294422, 2.54, 2.43,0
19840514,18070.0,7.53,18.76,0.9455183972725444, 1.87, 1.7599999999999998,0
19840515,26310.0,7.29,22.43,0.9639800022050408, 1.9, 0.35,0
19840516,27660.0,8.31,25.98,0.8317611638580383, 1.93, 0.0,0
19840517,27210.0,9.44,27.63,0.7900889658200554, 2.61, 0.0,0
19840518,28480.0,10.66,28.25,0.9633152305173657, 3.45, 0.0,0
19840519,28420.0,11.82,28.32,0.9970530390109288, 2.23, 0.0,0
19840520,29580.0,11.6,29.19,0.8994687044870846, 3.52, 0.0,0
19840521,25490.0,13.34,28.96,0.9520757432589939, 3.84, 0.0,0
19840522,23560.0,14.9,26.57,1.0087586481243795, 5.8, 0.0,0
19840523,28540.0,12.6,26.98,0.8358571865173448, 4.01, 0.05,0
19840524,29970.0,9.78,30.68,0.8975936439035235, 2.69, 0.02,0
19840525,28660.0,14.34,28.89,1.0268954937465737, 3.77, 0.13,0
19840526,12230.0,14.43,20.56,1.2083530100396374, 3.48, 1.15,0
19840527,17750.0,12.04,22.09,1.3373472140642026, 2.21, 4.14,0
19840528,13280.0,12.95,20.74,1.4647829070911804, 2.35, 2.16,0
19840529,20300.0,10.95,23.41,1.2222144505889743, 2.89, 1.6599999999999997,0
19840530,17050.0,10.29,22.01,1.2478515078442414, 1.95, 1.65,0
19840531,31560.0,10.75,24.4,1.277363760678991, 1.94, 0.67,0
19840601,25300.0,11.53,27.6,1.1810442703473178, 1.97, 5.52,0
19840602,22770.0,14.66,34.19,1.1068451994810282, 4.33, 0.02,0
19840603,14590.0,17.37,26.91,1.3768772672303893, 7.64, 1.11,0
19840604,16059.999999999998,15.23,23.85,1.543438960847215, 5.56, 0.78,0
19840605,10850.0,15.7,21.46,1.7917457988260097, 4.84, 10.45,0
19840606,19690.0,11.82,26.07,0.8741393839650275, 4.67, 0.28,0
19840607,22520.0,10.29,25.76,0.9416031212690286, 4.05, 0.8399999999999999,0
19840608,23010.0,14.29,27.37,0.7444262388514711, 6.08, 0.0,0
19840609,20630.0,11.35,28.57,1.0691211163174248, 3.51, 1.41,0
19840610,18330.0,12.26,24.95,0.9922679653792571, 2.9, 0.74,0
19840611,17720.0,12.58,21.4,1.1441883404144435, 2.88, 0.47,0
19840612,22610.0,12.79,28.1,1.0713084294845034, 2.79, 0.04,0
19840613,26850.0,14.39,30.04,1.0219844688570294, 2.03, 0.02,0
19840614,20610.0,16.13,31.15,1.3596833012691176, 3.4, 0.8499999999999999,0
19840615,10390.0,17.01,26.7,1.5790005458859897, 1.89, 0.24,0
19840616,19040.0,16.65,28.67,1.4889759353494478, 4.11, 0.01,0
19840617,7650.0,16.28,22.22,1.6619223807933985, 5.52, 3.97,0
19840618,7010.0,15.68,21.65,1.7352167970089827, 2.73, 2.06,0
19840619,28660.0,12.59,27.53,0.8975936439035235, 4.62, 0.0,0
19840620,29950.0,9.72,27.2,0.851227187922193, 1.93, 0.0,0
19840621,19510.0,12.56,25.27,0.9984239307059952, 1.52, 1.24,0
19840622,28710.0,13.2,30.1,1.1496125581462018, 1.56, 0.02,0
19840623,20350.0,16.23,31.12,1.1739069872513241, 1.56, 1.65,0
19840624,8440.0,16.84,27.22,1.788309103404683, 2.77, 11.47,0
19840625,10770.0,17.16,24.38,1.8807617177491782, 3.15, 17.92,0
19840626,8970.0,14.2,20.87,1.6310494891563723, 1.4, 7.51,0
19840627,15930.0,14.12,23.91,1.4744183816906042, 0.77, 1.4,0
19840628,22780.0,14.74,26.6,1.4686304419364884, 0.88, 0.07,0
19840629,28800.0,14.73,31.97,1.4744183816906042, 2.5, 0.0,0
19840630,26090.0,18.41,32.22,1.896369989615625, 5.18, 3.09,0
19840701,10740.0,19.0,27.95,2.1006078438537785, 6.25, 4.93,0
19840702,20120.0,16.56,29.96,1.6448262833454572, 3.31, 3.02,0
19840703,24800.0,13.67,29.12,1.2901985274077425, 2.06, 0.18,0
19840704,28700.0,13.13,28.9,1.1519441397592496, 1.48, 0.0,0
19840705,16560.0,16.16,28.6,1.3188347238947102, 1.23, 4.24,0
19840706,24810.0,15.84,28.77,1.426791622589759, 0.82, 0.08,0
19840707,26730.0,17.52,30.98,1.563672788335011, 2.8, 1.44,0
19840708,5960.0,18.49,26.95,1.9987248615181554, 4.0, 14.529999999999998,0
19840709,12180.0,17.13,29.46,1.996202726895579, 2.04, 7.24,0
19840710,23670.0,18.1,29.94,1.8113299678781154, 0.9, 1.28,0
19840711,8119.999999999999,18.29,28.85,1.9786256839771363, 1.93, 4.42,0
19840712,4820.0,18.76,22.14,2.1782741228783826, 3.0, 25.42,0
19840713,17190.0,16.13,25.11,1.5986048594252917, 3.94, 3.33,0
19840714,14110.0,13.74,21.78,1.5115426161329033, 3.33, 4.36,0
19840715,16740.0,12.63,23.15,1.6490857808992645, 2.4, 3.19,0
19840716,21750.0,14.29,26.67,1.672686407181814, 1.58, 0.17,0
19840717,22650.0,14.29,27.19,1.7009595332833891, 1.78, 0.55,0
19840718,22020.0,16.35,30.3,1.7296508532174582, 1.06, 0.9299999999999999,0
19840719,8740.0,17.44,30.11,1.8020906428312817, 1.35, 1.36,0
19840720,9540.0,18.72,33.13,1.879565756952523, 1.17, 1.65,0
19840721,14600.0,20.48,33.79,2.060099122319679, 1.88, 1.13,0
19840722,10640.0,20.62,33.27,1.95375077600223, 1.47, 1.9900000000000002,0
19840723,2670.0,19.39,24.93,2.2640641666264525, 1.8, 18.75,0
19840724,4560.0,18.6,27.48,2.063989202660485, 2.42, 1.9900000000000002,0
19840725,16740.0,17.97,33.91,1.9624256575788697, 3.07, 1.58,0
19840726,5190.0,19.36,30.53,2.0317674520668634, 2.68, 6.14,0
19840727,2790.0,20.5,28.66,2.371780870501794, 2.08, 11.89,0
19840728,4790.0,18.49,31.89,2.2767600102281214, 2.13, 0.03,0
19840729,15960.0,20.31,32.73,1.9512784154442813, 0.94, 0.22999999999999998,0
19840730,16020.0,20.52,31.4,1.9206043162076794, 1.28, 0.01,0
19840731,10450.0,18.89,31.18,2.2584414754127784, 2.48, 7.190000000000001,0
19840801,25600.0,21.53,33.03,1.9949427050011892, 3.77, 0.8399999999999999,0
19840802,26040.0,17.68,31.42,1.6544237564066977, 2.17, 0.0,0
19840803,16000.0,19.95,32.13,2.42356367529233, 3.06, 13.41,0
19840804,12140.0,21.8,31.23,2.3166572798940765, 5.44, 1.96,0
19840805,26260.0,18.16,33.98,2.1085282620433463, 3.38, 0.06,0
19840806,19760.0,23.23,34.56,2.487005397272066, 4.82, 1.34,0
19840807,23920.0,20.75,31.2,1.8975753124757166, 2.79, 0.26,0
19840808,20370.0,19.39,32.45,2.198764581943671, 3.62, 0.73,0
19840809,14020.0,20.31,31.98,2.119129472893741, 3.89, 0.5,0
19840810,12930.0,17.05,24.32,1.7042486284329212, 2.72, 9.13,0
19840811,8119.999999999999,13.94,21.92,1.531409278677998, 5.21, 38.35,0
19840812,24160.0,12.87,26.04,1.8487037458178461, 2.37, 6.75,0
19840813,3040.0,16.18,23.01,2.290939493348922, 3.74, 35.22,0
19840814,10290.0,13.52,20.68,1.5667278515171184, 1.95, 0.3,0
19840815,19260.0,13.13,22.37,1.5115426161329033, 1.48, 0.51,0
19840816,16239.999999999998,14.49,22.97,1.5264212494064902, 1.56, 0.61,0
19840817,20340.0,13.19,25.48,1.6352776809588367, 3.28, 0.01,0
19840818,24700.0,13.65,28.1,1.761022898120093, 1.72, 0.01,0
19840819,21690.0,15.92,26.71,1.7860211842863394, 1.59, 0.09,0
19840820,11730.0,16.94,27.82,2.0979734976746083, 1.78, 0.44999999999999996,0
19840821,9680.0,18.08,24.96,2.254232476229596, 2.01, 7.93,0
19840822,16740.0,16.73,26.49,1.959943684532914, 2.08, 1.16,0
19840823,19340.0,14.93,24.79,1.740798437845443, 1.26, 0.56,0
19840824,8140.000000000001,15.85,23.9,1.9611843271875586, 2.82, 3.89,0
19840825,8370.0,16.75,23.35,2.053629917131092, 3.16, 15.51,0
19840826,17340.0,15.78,24.72,2.0433161779636255, 2.17, 1.49,0
19840827,10880.0,14.04,24.47,1.7848781871583712, 2.2, 0.04,0
19840828,13870.0,14.47,24.25,1.6780913124224357, 2.55, 0.0,0
19840829,18190.0,12.92,22.8,1.6835115280330897, 1.54, 4.11,0
19840830,12980.0,11.35,23.43,1.6458902519949117, 3.39, 0.6,0
19840831,21170.0,9.53,22.86,1.1770744153537238, 2.05, 0.0,0
19840901,22590.0,9.79,23.36,1.152722257597058, 1.83, 0.0,0
19840902,23720.0,10.56,24.18,1.1922225867310254, 1.48, 0.0,0
19840903,18440.0,12.12,22.13,1.277363760678991, 0.9, 0.2,0
19840904,19400.0,11.8,22.71,1.2238543651141258, 0.95, 0.42999999999999994,0
19840905,21870.0,10.75,26.3,1.3214654993101307, 2.12, 0.0,0
19840906,15230.0,13.78,23.36,1.491902540092287, 4.39, 2.01,0
19840907,13300.0,15.12,24.07,1.7894540260066465, 3.36, 4.31,0
19840908,7690.0,9.68,20.15,1.450433357332691, 2.61, 10.630000000000003,0
19840909,9360.0,8.3,18.43,1.0896897758820943, 1.67, 0.72,0
19840910,14770.0,7.84,19.22,1.2148587231442862, 2.78, 3.91,0
19840911,14150.0,11.42,19.12,1.3118418108269714, 3.22, 0.96,0
19840912,14350.0,9.01,18.55,1.1826355068503123, 1.48, 0.8399999999999999,0
19840913,20880.0,7.77,21.07,1.074962706391726, 0.93, 0.0,0
19840914,21440.0,7.04,23.37,1.1053440455307895, 2.77, 0.0,0
19840915,12430.0,10.18,22.58,1.3170834316210762, 2.14, 3.18,0
19840916,13450.0,9.85,20.88,1.4418830057408742, 1.95, 9.35,0
19840917,7260.0,6.23,15.2,0.9800562520793934, 3.81, 4.03,0
19840918,19520.0,4.0,19.14,0.9235201091473194, 2.74, 0.0,0
19840919,19900.0,5.78,21.87,0.9494480119851476, 2.94, 0.0,0
19840920,19540.0,6.6,23.85,0.9949998101130814, 3.5, 0.0,0
19840921,19430.0,9.02,26.11,1.2230341661545374, 3.54, 0.0,0
19840922,19130.0,11.25,25.3,1.0948860433443903, 4.62, 0.24,0
19840923,18760.0,7.6,20.3,0.8335144290542225, 5.92, 2.17,0
19840924,14330.0,5.63,13.42,0.49439870243511996, 5.28, 0.01,0
19840925,11740.0,2.01,11.79,0.5444350082052457, 3.82, 0.0,0
19840926,17640.0,-1.43,9.94,0.4625349536941675, 2.62, 0.0,0
19840927,16180.0,-0.02,13.15,0.46918024096527233, 1.85, 0.0,0
19840928,11070.0,-0.4,10.18,0.563598416057571, 3.27, 2.29,0
19840929,2500.0,5.22,11.49,0.9235201091473194, 2.53, 4.79,0
19840930,7520.0,3.9,16.98,0.9057438688957842, 2.17, 0.31,0
19841001,14800.0,1.99,11.77,0.6444886353043183, 2.64, 0.08,0
19841002,3510.0,0.47,3.51,0.6032843237158478, 2.25, 6.49,0
19841003,7710.0,-1.4,8.84,0.5142837681978567, 3.62, 0.75,0
19841004,6300.0,-3.85,6.52,0.45051162405316786, 3.66, 0.07,0
19841005,12660.0,-2.7,6.66,0.440094554680523, 2.9, 0.0,0
19841006,14930.0,-4.09,9.84,0.4123044669970668, 1.88, 0.0,0
19841007,13700.0,-1.6,17.92,0.7158054443312655, 5.41, 0.0,0
19841008,13990.0,8.08,20.15,1.128814448864989, 5.43, 0.0,0
19841009,6400.0,1.32,13.36,0.9593350757503928, 3.83, 0.18,0
19841010,15220.0,-0.89,14.96,0.6229068888768879, 1.24, 0.0,0
19841011,13420.0,2.66,21.4,1.0073752648504462, 5.86, 0.8599999999999999,0
19841012,10930.0,-0.4,12.87,0.5082074221490503, 3.84, 3.58,0
19841013,14300.0,-2.28,11.95,0.4525528815320599, 2.91, 0.0,0
19841014,14680.0,-1.57,14.05,0.5702569536637069, 1.71, 0.0,0
19841015,8200.0,2.05,17.2,0.7001057408192888, 5.78, 0.01,0
19841016,11760.0,-0.22,12.65,0.5484633282842405, 5.53, 0.01,0
19841017,11320.0,-4.93,0.92,0.29211964363196313, 3.72, 0.0,0
19841018,10970.0,-5.94,2.18,0.31310122940227947, 1.64, 0.0,0
19841019,3990.0,-3.18,-1.02,0.3950560922455658, 2.88, 3.62,0
19841020,7130.0,-5.61,1.34,0.35114885756736847, 4.21, 0.14,0
19841021,10900.0,-7.05,1.71,0.3160637011888224, 3.24, 0.0,0
19841022,7640.0,-3.95,3.26,0.4528938867770238, 1.69, 0.03,0
19841023,9740.0,-1.85,6.57,0.5611192552725187, 2.59, 0.15,0
19841024,5030.0,-1.3,9.08,0.6543432839119703, 2.76, 0.8399999999999999,0
19841025,13330.0,-4.9,3.48,0.35169363479561355, 2.71, 0.0,0
19841026,12530.0,-3.82,4.98,0.3914444011967402, 1.02, 0.2,0
19841027,5610.0,-3.32,2.31,0.4667222013907802, 1.98, 0.68,0
19841028,5820.0,-3.86,4.5,0.480204257130153, 1.54, 0.4099999999999999,0
19841029,8980.0,-4.02,1.02,0.42277847150406545, 3.08, 0.14,0
19841030,12220.0,-5.78,3.46,0.38283679882340343, 2.42, 0.0,0
19841031,8390.0,-4.25,5.07,0.45769192665668507, 1.89, 0.29,0
19841101,7550.0,-4.21,2.07,0.36499541531287305, 3.91, 0.35,0
19841102,10170.0,-5.45,1.32,0.3752628509144833, 2.6, 0.01,0
19841103,11100.0,-5.26,4.58,0.4646243983114949, 2.21, 0.0,0
19841104,8930.0,0.15,7.44,0.7572287021924761, 3.53, 0.05,0
19841105,5420.0,-1.58,5.74,0.5795260463923498, 2.73, 0.02,0
19841106,9890.0,-2.98,10.6,0.4702371925869153, 7.02, 0.81,0
19841107,10770.0,-5.49,5.5,0.3772887961572955, 2.45, 0.0,0
19841108,9450.0,-4.85,1.46,0.40668891592425, 4.86, 0.05,0
19841109,8630.0,-5.43,4.37,0.32206345654917945, 2.96, 0.0,0
19841110,7680.0,-4.79,4.5,0.38637798233359927, 4.23, 0.02,0
19841111,8820.0,-10.53,-5.47,0.18393012763148603, 4.06, 0.03,0
19841112,9250.0,-13.21,-7.77,0.15469662815211305, 3.8, 0.0,0
19841113,9160.0,-15.1,-7.26,0.16097392649158462, 2.18, 0.0,0
19841114,3260.0,-10.71,-7.95,0.21888501092942497, 2.44, 0.8499999999999999,0
19841115,8200.0,-12.56,-5.11,0.2221244255272215, 1.51, 0.01,0
19841116,6660.0,-12.05,-4.0,0.2674419600697758, 3.49, 1.38,0
19841117,5400.0,-17.01,-8.79,0.16874936744447155, 2.7, 0.0,0
19841118,5260.0,-18.55,-10.07,0.1424276285728018, 1.94, 0.0,0
19841119,6810.0,-18.62,-8.07,0.15680860108789108, 1.47, 0.0,0
19841120,6840.0,-16.19,-4.7,0.18826206061595074, 2.1, 0.0,0
19841121,7060.0,-14.42,-4.73,0.22394248887891854, 2.5, 0.0,0
19841122,7080.0,-13.07,0.88,0.3261192920330527, 4.05, 0.0,0
19841123,6530.0,-8.07,-0.35,0.3111399799634116, 4.3, 0.0,0
19841124,7400.0,-14.31,-6.83,0.18073974260566508, 3.56, 0.0,0
19841125,7080.0,-14.67,-1.73,0.1833185917468515, 4.61, 0.0,0
19841126,5250.0,-10.01,-5.67,0.23819852438053088, 5.99, 0.22999999999999998,0
19841127,5400.0,-17.06,-6.56,0.15042069885276246, 4.35, 0.0,0
19841128,7200.0,-13.89,-1.26,0.2217623943317727, 5.0, 0.0,0
19841129,6530.0,-8.14,2.34,0.36387012520832457, 4.49, 0.01,0
19841130,5930.0,-5.2,3.04,0.5278005186846187, 2.78, 0.33,0
19841201,5310.0,-7.76,-0.92,0.4151379420549957, 2.31, 1.9,0
19841202,5270.0,-9.15,-4.31,0.30508124054091657, 3.36, 0.05,0
19841203,5670.0,-9.09,-2.09,0.3261192920330527, 4.74, 0.04,0
19841204,6630.0,-16.73,-10.22,0.1130187082371344, 4.0, 0.0,0
19841205,6840.0,-19.02,-11.47,0.1279018457300515, 3.13, 0.0,0
19841206,7210.0,-17.36,-4.82,0.17494541661242294, 4.09, 0.0,0
19841207,5290.0,-13.37,-3.43,0.25963834895921983, 4.09, 0.01,0
19841208,7150.0,-16.63,-6.34,0.1881057960907434, 1.41, 0.0,0
19841209,4750.0,-16.68,-7.69,0.2155113424145519, 2.28, 0.0,0
19841210,6450.0,-11.29,-3.08,0.30388215240838595, 2.1, 0.02,0
19841211,4660.0,-9.42,-1.12,0.3678221648872762, 2.35, 0.28,0
